"state","district","party","gender","nameid","icpsr.id","missingVotes","idealPoint","lo","up","label","indx","firstnm","lastnm"
"NJ","7","R","M","L000567","20929",5,0.626795978002485,0.522778339187368,0.714903680622523,"Lance (R NJ-7)",255,"Leonard","Lance"
"OK","3","R","M","L000491","29393",9,0.630928051779379,0.529762887036692,0.729459651252253,"Lucas (R OK-3)",256,"Frank","Lucas"
"IL","15","R","M","S000364","29718",10,0.633400590308669,0.535818120033653,0.732539766281237,"Shimkus (R IL-15)",257,"John","Shimkus"
"PA","10","R","M","M001179","21170",17,0.633741700984385,0.534945579879004,0.732686588397117,"Marino (R PA-10)",258,"Tom","Marino"
"LA","3","R","M","B001255","20514",5,0.6396199862096,0.543909689052424,0.74164114011214,"Boustany Jr. (R LA-3)",259,"Charles","Boustany Jr."
"MT","1","R","M","Z000018","",17,0.641250325609787,0.543591284809138,0.734831681089701,"Zinke (R MT-1)",260,"Ryan","Zinke"
"NV","4","R","M","H001070","",7,0.642715477534521,0.55325889881615,0.742016861247931,"Hardy (R NV-4)",261,"Cresent","Hardy"
"NV","3","R","M","H001055","21151",26,0.64704535841439,0.54992532538993,0.746283972831796,"Heck (R NV-3)",262,"Joe","Heck"
"CA","22","R","M","N000181","20307",7,0.648791425780988,0.557836342198898,0.748158232018378,"Nunes (R CA-22)",263,"Devin","Nunes"
"OH","16","R","M","R000586","21164",8,0.650475055427872,0.55246440957625,0.751420232881965,"Renacci (R OH-16)",264,"Jim","Renacci"
"SC","1","R","M","S000051","29565",24,0.651759880560384,0.56111382647994,0.756458341659896,"Sanford (R SC-1)",265,"Mark","Sanford"
"MS","3","R","M","H001045","20925",11,0.651760415995704,0.545696650803724,0.74731740765612,"Harper (R MS-3)",266,"Gregg","Harper"
"AR","3","R","M","W000809","21108",5,0.652177206036742,0.548255923551159,0.748558098832537,"Womack (R AR-3)",267,"Steve","Womack"
"VA","9","R","M","G000568","21191",15,0.656180369589962,0.561499030062819,0.754001452416971,"Griffith (R VA-9)",268,"Morgan","Griffith"
"ME","2","R","M","P000611","",9,0.657366757579257,0.553265705570194,0.756786681305329,"Poliquin (R ME-2)",269,"Bruce","Poliquin"
"MI","10","R","F","M001150","20331",27,0.659556067792097,0.565130149568947,0.765881004446677,"Miller (R MI-10)",270,"Candice","Miller"
"IN","8","R","M","B001275","21132",10,0.660122657087689,0.558594799936544,0.759010734259327,"Bucshon (R IN-8)",271,"Larry","Bucshon"
"ND","1","R","M","C001096","21350",23,0.663786970471846,0.562155508590011,0.767328282586954,"Cramer (R ND-1)",272,"Kevin","Cramer"
"IN","5","R","F","B001284","21331",13,0.665366029432817,0.561471308034168,0.762328310065929,"Brooks (R IN-5)",273,"Susan","Brooks"
"NH","1","R","M","G000570","",10,0.671884318358469,0.574501027542519,0.784650878767779,"Guinta (R NH-1)",274,"Frank","Guinta"
"MN","3","R","M","P000594","20924",11,0.672304585410571,0.572957330521333,0.775731135676045,"Paulsen (R MN-3)",275,"Erik","Paulsen"
"MI","11","R","M","T000475","",9,0.679790825448193,0.574298913552076,0.78031657130584,"Trott (R MI-11)",276,"Dave","Trott"
"MN","6","R","M","E000294","",10,0.691614083467804,0.600168251535789,0.793741096125956,"Emmer (R MN-6)",277,"Tom","Emmer"
"IL","18","R","M","L000585","",499,0.700482630184031,0.549131017108106,0.848333680523628,"LaHood (R IL-18)",278,"Darin","LaHood"
"MN","2","R","M","K000363","20333",6,0.700894147236085,0.597196659028623,0.807523177175352,"Kline (R MN-2)",279,"John","Kline"
"CA","45","R","F","W000820","",10,0.704006648270578,0.605221483118118,0.814368040286408,"Walters (R CA-45)",280,"Mimi","Walters"
"OH","6","R","M","J000292","21162",8,0.705038754308124,0.609310590112118,0.806538517330357,"Johnson (R OH-6)",281,"Bill","Johnson"
"AL","3","R","M","R000575","20301",16,0.710890874858347,0.60916462502639,0.818076374331892,"Rogers (R AL-3)",282,"Mike","Rogers"
"CA","25","R","M","K000387","",17,0.714125390999594,0.613640855660137,0.816892528098314,"Knight (R CA-25)",283,"Steve","Knight"
"CA","8","R","M","C001094","21305",8,0.718030450867396,0.607598919802331,0.812680371603829,"Cook (R CA-8)",284,"Paul","Cook"
"WA","5","R","F","M001159","20535",9,0.720211639002335,0.609439793187194,0.81979981539223,"McMorris Rodgers (R WA-5)",285,"Cathy","McMorris Rodgers"
"TX","12","R","F","G000377","29762",34,0.725165374484627,0.626391598908489,0.834233185644571,"Granger (R TX-12)",286,"Kay","Granger"
"MO","3","R","M","L000569","20926",10,0.732744284652905,0.630187803231331,0.835742697852437,"Luetkemeyer (R MO-3)",287,"Blaine","Luetkemeyer"
"AR","1","R","M","C001087","21106",41,0.733463839564268,0.632038136961583,0.839547111908444,"Crawford (R AR-1)",288,"Rick","Crawford"
"AL","4","R","M","A000055","29701",16,0.749365480082938,0.63845687156915,0.851937938678044,"Aderholt (R AL-4)",289,"Robert","Aderholt"
"AL","5","R","M","B001274","21193",8,0.757392917844491,0.651641011420728,0.86081258809687,"Brooks (R AL-5)",290,"Mo","Brooks"
"MI","4","R","M","M001194","",17,0.759010591182407,0.652864532748857,0.8638847490045,"Moolenaar (R MI-4)",291,"John","Moolenaar"
"OK","5","R","M","R000604","",14,0.762443224090211,0.657906625314554,0.868729294067896,"Russell (R OK-5)",292,"Steve","Russell"
"WI","8","R","M","R000587","21190",28,0.762900932675236,0.661879766812997,0.874149921989685,"Ribble (R WI-8)",293,"Reid","Ribble"
"OK","2","R","M","M001190","21355",7,0.764409609802165,0.655033951897635,0.871570423790559,"Mullin (R OK-2)",294,"Markwayne","Mullin"
"AL","2","R","F","R000591","21192",5,0.764511004044078,0.661749248833258,0.874319707658222,"Roby (R AL-2)",295,"Martha","Roby"
